epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,2345.02,0.69938,0.55794,0.98945,0.52599,0.5946,0.55673,0.40527,1.38668,1.65891,1.6049,0.000558953,0.000558953,0.000558953
125,2363.28,0.67971,0.53897,0.99038,0.69749,0.51695,0.56586,0.40518,1.47137,1.59525,1.68047,0.00055188,0.00055188,0.00055188
126,2383.26,0.69241,0.55161,0.97688,0.68655,0.55775,0.61985,0.45598,1.35904,1.59281,1.5812,0.000544806,0.000544806,0.000544806
127,2401.79,0.69018,0.53864,0.98798,0.7084,0.55041,0.61842,0.47613,1.35589,1.92838,1.58865,0.000537733,0.000537733,0.000537733
128,2421.45,0.68337,0.53964,0.98115,0.65608,0.56118,0.6084,0.413,1.39129,1.82224,1.5635,0.000530659,0.000530659,0.000530659
129,2440.4,0.68679,0.53648,0.98513,0.50774,0.5008,0.54979,0.38386,1.35417,1.76187,1.54448,0.000523586,0.000523586,0.000523586
130,2459.73,0.67696,0.53707,0.97858,0.74948,0.46617,0.52647,0.40588,1.24721,1.71145,1.45004,0.000516512,0.000516512,0.000516512
131,2478.99,0.6842,0.53296,0.98549,0.60496,0.47488,0.46712,0.34341,1.39359,1.74143,1.65716,0.000509438,0.000509438,0.000509438
132,2498.27,0.66214,0.51161,0.97071,0.59177,0.50018,0.51347,0.34472,1.36346,1.82619,1.53583,0.000502365,0.000502365,0.000502365
133,2517.82,0.67768,0.5103,0.97412,0.56888,0.50396,0.50703,0.37929,1.48209,2.09607,1.66474,0.000495291,0.000495291,0.000495291
134,2536.42,0.65064,0.50551,0.98045,0.44167,0.46553,0.47826,0.34284,1.33223,1.80471,1.53403,0.000488218,0.000488218,0.000488218
135,2556.25,0.66786,0.52331,0.98448,0.61052,0.55773,0.5825,0.43783,1.51408,1.83786,1.84726,0.000481144,0.000481144,0.000481144
136,2575.71,0.67442,0.53307,0.98385,0.83557,0.49903,0.6265,0.46321,1.47572,1.68944,1.68887,0.000474071,0.000474071,0.000474071
137,2595.19,0.66297,0.51266,0.96929,0.49315,0.53543,0.51724,0.35165,1.29716,1.7753,1.47827,0.000466997,0.000466997,0.000466997
138,2614.44,0.64413,0.51559,0.97908,0.77144,0.48286,0.53555,0.40348,1.28786,1.83031,1.52143,0.000459924,0.000459924,0.000459924
139,2633.08,0.65662,0.51763,0.96555,0.57553,0.56141,0.57782,0.45276,1.37848,1.74827,1.62032,0.00045285,0.00045285,0.00045285
140,2652.58,0.65239,0.50661,0.97586,0.63842,0.47086,0.54539,0.43071,1.35688,1.87162,1.60671,0.000445777,0.000445777,0.000445777
141,2671.61,0.66484,0.51222,0.97475,0.81202,0.44673,0.58002,0.44411,1.2815,1.80151,1.49573,0.000438703,0.000438703,0.000438703
142,2691.4,0.65008,0.50745,0.96696,0.80245,0.47766,0.6053,0.47412,1.23027,1.71444,1.462,0.000431629,0.000431629,0.000431629
